Table S8. Alpha diversity estimates of richness,,,,,,,,,
,,,,,,,,,
Bacterial Sample,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher
X3A.RS.16s_S250_L001_R1_001.fastq.gz,143,143,0,143,3.769587538,4.269845357,0.971355111,34.91024209,24.73481841
X3A.RS.2.16s_S291_L001_R1_001.fastq.gz,205,205,0,205,3.94844829,4.762329981,0.983888885,62.06895141,34.54582121
X3B.ES.16s_S262_L001_R1_001.fastq.gz,214,214,0,214,4.060293254,4.569123193,0.975044615,40.07151103,35.12454694
X3B.ES.2.16s_S310_L001_R1_001.fastq.gz,143,143,0,143,3.315570387,4.20854115,0.97627589,42.15121189,20.96796187
X3B.RS.16s_S251_L001_R1_001.fastq.gz,220,220,0,220,3.851800051,4.867178164,0.987388968,79.29565435,36.99127189
X3B.RS.2.16s_S292_L001_R1_001.fastq.gz,313,313,0,313,3.779040905,5.058833822,0.985583802,69.36641588,51.2861654
X3C.ES.16s_S263_L001_R1_001.fastq.gz,203,203,0,203,4.339076654,4.123059616,0.96576393,29.20896025,29.2872532
X3C.ES.2.16s_S311_L001_R1_001.fastq.gz,337,337,0,337,3.785808264,5.221365845,0.98949158,95.16178827,54.47874043
X3C.RS.16s_S252_L001_R1_001.fastq.gz,114,114,0,114,3.609198774,4.181609141,0.97682076,43.14205358,19.79170832
X3C.RS.2.16s_S293_L001_R1_001.fastq.gz,420,420,0,420,4.756949803,5.522986462,0.992959959,142.0446215,69.00113487
X3D.BS.1.16s_S242_L001_R1_001.fastq.gz,255,255,0,255,3.983298466,5.006836788,0.987963885,83.0832841,41.96850968
X3D.ES.16s_S264_L001_R1_001.fastq.gz,262,262,0,262,4.489172725,4.599964402,0.974668021,39.47579475,40.41789055
X3D.ES.2.16s_S312_L001_R1_001.fastq.gz,58,58,0,58,0.991341828,3.800112275,0.974106269,38.61938663,7.755162992
X3D.RS.16s_S253_L001_R1_001.fastq.gz,162,162,0,162,3.900775485,4.327167575,0.970822538,34.27302871,27.13960295
X3D.RS.2.16s_S294_L001_R1_001.fastq.gz,144,144,0,144,3.187431916,4.594508631,0.984852859,66.01905763,25.49063707
X3E.ES.2.16s_S313_L001_R1_001.fastq.gz,235,235,0,235,2.212152124,4.774907914,0.984323958,63.79161456,37.28988086
X3E.RS.2.16s_S295_L001_R1_001.fastq.gz,39,39,0,39,2.631174058,3.385952174,0.957742546,23.66446424,7.892123944
X3F.ES.2.16s_S314_L001_R1_001.fastq.gz,105,105,0,105,0.995226703,4.266467678,0.981421747,53.82637454,13.81070594
CI.BS.1.16S_S93_L001_R1_001.fastq.gz,349,349,0,349,4.021432552,5.124285534,0.984565292,64.78904435,54.69987601
CI.BS.10.16S_S102_L001_R1_001.fastq.gz,190,190,0,190,3.716959708,4.817417416,0.987906737,82.69067052,33.26615891
CI.BS.11.16S_S103_L001_R1_001.fastq.gz,195,195,0,195,3.604840051,4.808746118,0.987591437,80.58950721,33.10578686
CI.BS.12.16S_S104_L001_R1_001.fastq.gz,284,284,0,284,3.648267966,5.254530518,0.992370808,131.0754724,49.05836422
